temperature,humidity,rainfall,wind_speed,month,crop,region,state,latitude,longitude,pesticide_applications,past_disease_occurrences,disease,severity,is_diseased
28.2,65.6,5.7,2.4,3,Potato,Amritsar,Punjab,31.63,74.87,1,1,Potato___healthy,0.0,0
28.5,77.7,82.9,11.1,8,Corn,Lucknow,Uttar Pradesh,26.85,80.94,1,0,Corn_(maize)___Common_rust_,77.3,1
31.3,85.6,25.7,6.4,9,Corn,Amravati,Maharashtra,20.93,77.75,1,1,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,59.0,1
21.7,61.9,121.9,6.6,7,Potato,Amritsar,Punjab,31.63,74.87,2,5,Potato___Late_blight,85.1,1
30.8,62.8,53.4,9.1,6,Tomato,Jaipur,Rajasthan,26.91,75.79,1,0,Tomato___Leaf_Mold,44.0,1
21.2,79.2,9.4,4.6,11,Potato,Mysore,Karnataka,12.29,76.64,3,2,Potato___healthy,0.0,0
33.6,69.8,5.5,6.0,3,Corn,Hyderabad,Telangana,17.38,78.47,0,0,Corn_(maize)___healthy,0.0,0
30.6,77.4,46.6,9.1,9,Soybean,Jabalpur,Madhya Pradesh,23.18,79.94,1,0,Soybean___healthy,0.0,0
33.1,79.2,75.0,6.3,6,Pepper,Agra,Uttar Pradesh,27.17,78.01,7,5,"Pepper,_bell___healthy",0.0,0
29.8,76.2,80.2,8.7,6,Strawberry,Indore,Madhya Pradesh,22.71,75.85,0,2,Strawberry___Leaf_scorch,47.4,1
31.3,93.6,110.0,12.2,8,Cherry,Akola,Maharashtra,20.7,77.0,3,2,Cherry_(including_sour)___Powdery_mildew,32.3,1
19.3,80.2,79.3,4.3,8,Corn,Bangalore,Karnataka,12.97,77.59,2,1,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,55.0,1
22.8,57.9,5.3,13.3,12,Apple,Jaipur,Rajasthan,26.91,75.79,2,1,Apple___Apple_scab,65.1,1
23.8,65.3,4.6,5.9,3,Grape,Lucknow,Uttar Pradesh,26.85,80.94,1,0,Grape___healthy,0.0,0
31.3,78.3,101.2,4.3,7,Tomato,Hyderabad,Telangana,17.38,78.47,0,1,Tomato___Early_blight,77.0,1
21.7,77.4,11.7,6.5,11,Potato,Coimbatore,Tamil Nadu,11.01,76.96,1,5,Potato___Late_blight,92.4,1
27.1,75.2,11.5,10.6,11,Orange,Lucknow,Uttar Pradesh,26.85,80.94,1,1,Orange___Haunglongbing_(Citrus_greening),90.1,1
27.6,74.7,26.6,5.8,10,Apple,Nashik,Maharashtra,19.99,73.79,0,0,Apple___healthy,0.0,0
28.4,85.6,85.4,9.0,9,Tomato,Burdwan,West Bengal,23.23,87.85,3,4,Tomato___Target_Spot,34.4,1
33.0,71.4,25.2,3.6,6,Tomato,Ahmedabad,Gujarat,23.02,72.57,2,0,Tomato___Bacterial_spot,51.6,1
23.2,81.9,4.3,11.5,2,Orange,Jabalpur,Madhya Pradesh,23.18,79.94,1,2,Orange___Haunglongbing_(Citrus_greening),87.8,1
19.1,76.6,4.6,8.1,2,Soybean,Indore,Madhya Pradesh,22.71,75.85,0,0,Soybean___healthy,0.0,0
16.1,59.7,5.2,7.9,1,Strawberry,Jaipur,Rajasthan,26.91,75.79,5,2,Strawberry___healthy,0.0,0
25.1,66.0,33.1,7.8,10,Tomato,Aurangabad,Maharashtra,19.87,75.34,8,0,Tomato___Late_blight,61.4,1
15.2,65.7,5.0,8.9,1,Potato,Amritsar,Punjab,31.63,74.87,5,0,Potato___healthy,0.0,0
41.9,69.8,14.3,7.4,4,Strawberry,Chennai,Tamil Nadu,13.08,80.27,1,0,Strawberry___Leaf_scorch,44.7,1
21.4,76.1,5.6,11.3,12,Apple,Gaya,Bihar,24.79,84.99,3,1,Apple___healthy,0.0,0
30.0,64.9,123.4,6.0,8,Corn,Ahmedabad,Gujarat,23.02,72.57,6,0,Corn_(maize)___healthy,0.0,0
26.6,75.9,12.6,7.9,11,Wheat,Warangal,Telangana,17.97,79.59,7,2,Wheat___Leaf_rust,55.3,1
22.9,71.1,24.0,7.0,10,Squash,Pune,Maharashtra,18.52,73.85,0,1,Squash___Powdery_mildew,54.6,1
34.5,65.1,19.5,10.9,5,Orange,Jalandhar,Punjab,31.32,75.57,4,1,Orange___Haunglongbing_(Citrus_greening),78.6,1
29.3,75.3,15.7,9.3,10,Tomato,Lucknow,Uttar Pradesh,26.85,80.94,3,0,Tomato___Leaf_Mold,54.3,1
30.8,68.4,77.2,2.6,7,Corn,Agra,Uttar Pradesh,27.17,78.01,0,3,Corn_(maize)___healthy,0.0,0
24.9,81.2,116.8,2.9,8,Cherry,Hyderabad,Telangana,17.38,78.47,5,3,Cherry_(including_sour)___Powdery_mildew,50.4,1
38.1,68.7,20.6,10.5,5,Cherry,Solapur,Maharashtra,17.66,75.9,3,3,Cherry_(including_sour)___Powdery_mildew,51.7,1
22.6,83.5,8.3,5.9,11,Grape,Amravati,Maharashtra,20.93,77.75,4,3,Grape___Black_rot,80.0,1
28.7,84.5,73.6,2.7,9,Corn,Patna,Bihar,25.59,85.13,3,2,Corn_(maize)___Northern_Leaf_Blight,53.7,1
19.1,67.1,5.7,9.5,2,Corn,Jalandhar,Punjab,31.32,75.57,0,3,Corn_(maize)___healthy,0.0,0
27.8,84.4,95.9,4.7,9,Potato,Bhopal,Madhya Pradesh,23.25,77.41,5,0,Potato___Late_blight,80.0,1
22.0,71.2,3.0,7.5,1,Apple,Aurangabad,Maharashtra,19.87,75.34,1,1,Apple___healthy,0.0,0
26.8,72.6,8.4,8.4,3,Cherry,Bhopal,Madhya Pradesh,23.25,77.41,1,0,Cherry_(including_sour)___healthy,0.0,0
24.1,66.5,7.9,7.3,11,Tomato,Bhopal,Madhya Pradesh,23.25,77.41,0,1,Tomato___Bacterial_spot,48.3,1
20.2,72.0,5.6,0.0,12,Pepper,Ahmedabad,Gujarat,23.02,72.57,1,1,"Pepper,_bell___healthy",0.0,0
26.9,81.3,27.2,8.1,10,Apple,Coimbatore,Tamil Nadu,11.01,76.96,3,3,Apple___Apple_scab,49.1,1
32.5,48.6,80.9,6.1,9,Corn,Jodhpur,Rajasthan,26.29,73.01,8,1,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,46.1,1
30.9,75.5,106.3,5.6,8,Pepper,Agra,Uttar Pradesh,27.17,78.01,3,0,"Pepper,_bell___Bacterial_spot",53.1,1
19.5,73.4,0.5,8.1,2,Tomato,Nashik,Maharashtra,19.99,73.79,1,0,Tomato___healthy,0.0,0
18.0,72.7,8.6,7.1,3,Corn,Shimla,Himachal Pradesh,31.1,77.17,6,3,Corn_(maize)___healthy,0.0,0
25.3,73.5,6.6,7.3,2,Pepper,Jabalpur,Madhya Pradesh,23.18,79.94,9,2,"Pepper,_bell___healthy",0.0,0
18.4,71.1,79.8,5.9,8,Potato,Amritsar,Punjab,31.63,74.87,1,2,Potato___healthy,0.0,0
35.8,83.8,84.4,1.0,6,Apple,Aurangabad,Maharashtra,19.87,75.34,1,1,Apple___Black_rot,79.6,1
41.0,69.6,17.1,7.2,5,Apple,Akola,Maharashtra,20.7,77.0,3,0,Apple___Cedar_apple_rust,44.5,1
30.8,82.6,127.5,14.6,6,Squash,Kolkata,West Bengal,22.57,88.36,0,5,Squash___Powdery_mildew,41.1,1
16.8,67.7,13.6,10.5,11,Tomato,Bangalore,Karnataka,12.97,77.59,2,1,Tomato___Tomato_mosaic_virus,79.2,1
28.3,77.0,99.3,12.5,6,Strawberry,Hyderabad,Telangana,17.38,78.47,2,1,Strawberry___healthy,0.0,0
30.0,90.3,101.1,3.7,6,Tomato,Bhopal,Madhya Pradesh,23.25,77.41,3,0,Tomato___Late_blight,88.0,1
22.3,78.9,192.3,16.3,7,Blueberry,Ludhiana,Punjab,30.9,75.85,1,0,Blueberry___healthy,0.0,0
14.1,77.4,8.8,14.1,11,Corn,Dharamsala,Himachal Pradesh,32.21,76.32,1,1,Corn_(maize)___Common_rust_,78.2,1
27.2,82.8,97.7,7.7,8,Cherry,Surat,Gujarat,21.17,72.83,3,3,Cherry_(including_sour)___Powdery_mildew,49.0,1
18.6,63.9,4.0,11.3,3,Tomato,Amritsar,Punjab,31.63,74.87,6,0,Tomato___Early_blight,56.0,1
22.3,64.1,35.4,10.1,10,Peach,Jalandhar,Punjab,31.32,75.57,1,0,Peach___healthy,0.0,0
16.5,69.1,5.2,7.8,2,Tomato,Ranchi,Jharkhand,23.34,85.31,1,0,Tomato___healthy,0.0,0
20.7,76.2,45.4,9.1,7,Orange,Jalandhar,Punjab,31.32,75.57,1,1,Orange___Haunglongbing_(Citrus_greening),79.7,1
28.7,61.4,8.8,9.9,4,Cherry,Jalandhar,Punjab,31.32,75.57,3,1,Cherry_(including_sour)___Powdery_mildew,37.2,1
23.3,84.5,103.3,0.0,6,Apple,Bhopal,Madhya Pradesh,23.25,77.41,2,1,Apple___Apple_scab,67.5,1
25.2,71.7,3.5,16.5,2,Corn,Gaya,Bihar,24.79,84.99,0,1,Corn_(maize)___healthy,0.0,0
27.1,79.4,84.2,9.4,6,Corn,Coimbatore,Tamil Nadu,11.01,76.96,5,2,Corn_(maize)___Common_rust_,50.3,1
27.7,95.5,103.6,5.1,6,Potato,Lucknow,Uttar Pradesh,26.85,80.94,1,0,Potato___Late_blight,96.0,1
31.0,68.9,166.9,7.7,8,Tomato,Jaipur,Rajasthan,26.91,75.79,1,5,Tomato___healthy,0.0,0
27.4,78.7,146.7,15.5,7,Strawberry,Varanasi,Uttar Pradesh,25.31,82.97,10,1,Strawberry___healthy,0.0,0
29.6,69.0,33.6,9.6,10,Peach,Bhopal,Madhya Pradesh,23.25,77.41,0,0,Peach___healthy,0.0,0
26.7,88.2,76.4,14.3,9,Tomato,Amravati,Maharashtra,20.93,77.75,2,1,Tomato___Bacterial_spot,54.8,1
38.1,67.3,13.6,9.7,4,Grape,Hyderabad,Telangana,17.38,78.47,1,0,Grape___Black_rot,79.3,1
25.5,73.3,11.1,15.7,3,Tomato,Solapur,Maharashtra,17.66,75.9,3,3,Tomato___healthy,0.0,0
18.8,74.3,8.0,9.4,11,Apple,Bhopal,Madhya Pradesh,23.25,77.41,5,2,Apple___healthy,0.0,0
17.4,59.2,17.3,17.6,11,Grape,Jalandhar,Punjab,31.32,75.57,3,2,Grape___Black_rot,67.3,1
28.3,89.1,130.1,11.1,8,Tomato,Coimbatore,Tamil Nadu,11.01,76.96,1,5,Tomato___Spider_mites Two-spotted_spider_mite,77.7,1
29.3,83.5,135.6,0.9,8,Tomato,Warangal,Telangana,17.97,79.59,1,4,Tomato___Septoria_leaf_spot,57.6,1
24.0,70.0,192.5,0.0,7,Pepper,Lucknow,Uttar Pradesh,26.85,80.94,2,0,"Pepper,_bell___healthy",0.0,0
25.4,56.7,4.1,5.5,2,Strawberry,Jaipur,Rajasthan,26.91,75.79,0,0,Strawberry___healthy,0.0,0
23.9,78.2,5.0,11.1,11,Raspberry,Gaya,Bihar,24.79,84.99,4,3,Raspberry___healthy,0.0,0
39.2,69.0,20.1,5.3,4,Cherry,Aurangabad,Maharashtra,19.87,75.34,7,1,Cherry_(including_sour)___Powdery_mildew,46.7,1
30.8,78.3,78.8,6.6,6,Corn,Gaya,Bihar,24.79,84.99,7,0,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,39.6,1
19.3,79.0,5.1,5.5,12,Grape,Lucknow,Uttar Pradesh,26.85,80.94,3,1,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),54.5,1
19.0,73.9,5.9,11.4,2,Apple,Lucknow,Uttar Pradesh,26.85,80.94,2,4,Apple___healthy,0.0,0
21.4,70.9,3.2,6.0,1,Raspberry,Warangal,Telangana,17.97,79.59,2,3,Raspberry___healthy,0.0,0
11.0,83.7,68.8,4.6,6,Peach,Shimla,Himachal Pradesh,31.1,77.17,2,0,Peach___Bacterial_spot,68.9,1
28.5,73.9,2.1,0.8,2,Pepper,Varanasi,Uttar Pradesh,25.31,82.97,3,1,"Pepper,_bell___healthy",0.0,0
27.7,71.0,4.3,9.3,3,Apple,Bangalore,Karnataka,12.97,77.59,4,1,Apple___Apple_scab,60.9,1
21.3,62.2,5.2,4.3,3,Wheat,Jalandhar,Punjab,31.32,75.57,3,2,Wheat___Leaf_rust,58.8,1
33.4,66.2,12.6,11.0,5,Tomato,Jalandhar,Punjab,31.32,75.57,1,0,Tomato___Early_blight,47.9,1
21.4,84.9,55.4,14.4,8,Apple,Nashik,Maharashtra,19.99,73.79,3,2,Apple___Black_rot,74.8,1
20.1,78.8,12.8,7.4,4,Raspberry,Dharamsala,Himachal Pradesh,32.21,76.32,3,2,Raspberry___healthy,0.0,0
28.1,75.7,83.6,10.6,6,Strawberry,Bangalore,Karnataka,12.97,77.59,2,2,Strawberry___healthy,0.0,0
30.0,84.4,103.9,13.0,8,Potato,Surat,Gujarat,21.17,72.83,2,0,Potato___Early_blight,51.8,1
22.1,76.5,31.2,10.9,10,Apple,Pune,Maharashtra,18.52,73.85,8,5,Apple___healthy,0.0,0
33.8,70.1,11.5,0.7,4,Potato,Ludhiana,Punjab,30.9,75.85,1,0,Potato___Early_blight,50.0,1
27.9,63.3,146.7,8.4,7,Pepper,Jaipur,Rajasthan,26.91,75.79,2,2,"Pepper,_bell___Bacterial_spot",62.6,1
20.7,78.0,4.8,11.8,11,Soybean,Bhopal,Madhya Pradesh,23.25,77.41,1,2,Soybean___healthy,0.0,0
29.6,64.9,9.6,9.6,4,Soybean,Jalandhar,Punjab,31.32,75.57,2,0,Soybean___healthy,0.0,0
24.4,61.5,12.9,11.9,11,Tomato,Jaipur,Rajasthan,26.91,75.79,3,0,Tomato___Late_blight,83.5,1
29.2,70.0,119.8,11.1,8,Soybean,Hyderabad,Telangana,17.38,78.47,2,0,Soybean___healthy,0.0,0
35.0,75.1,38.5,8.5,10,Tomato,Aurangabad,Maharashtra,19.87,75.34,5,0,Tomato___Late_blight,70.9,1
24.2,71.5,9.0,13.1,11,Tomato,Nagpur,Maharashtra,21.14,79.08,4,0,Tomato___Late_blight,80.3,1
21.5,72.0,32.1,6.4,10,Cherry,Pune,Maharashtra,18.52,73.85,0,0,Cherry_(including_sour)___healthy,0.0,0
20.3,76.6,12.8,9.2,5,Apple,Dharamsala,Himachal Pradesh,32.21,76.32,0,4,Apple___healthy,0.0,0
22.7,76.8,3.8,5.1,2,Orange,Pune,Maharashtra,18.52,73.85,2,2,Orange___Haunglongbing_(Citrus_greening),92.0,1
19.3,70.5,109.3,12.2,8,Orange,Ludhiana,Punjab,30.9,75.85,9,4,Orange___Haunglongbing_(Citrus_greening),60.7,1
19.5,79.5,7.1,5.6,11,Pepper,Indore,Madhya Pradesh,22.71,75.85,2,3,"Pepper,_bell___healthy",0.0,0
27.9,75.0,25.0,6.5,10,Corn,Lucknow,Uttar Pradesh,26.85,80.94,6,2,Corn_(maize)___Northern_Leaf_Blight,45.7,1
24.4,62.4,9.0,13.4,12,Tomato,Ahmedabad,Gujarat,23.02,72.57,2,3,Tomato___Tomato_mosaic_virus,72.5,1
25.6,77.7,11.2,9.6,4,Wheat,Ranchi,Jharkhand,23.34,85.31,1,1,Wheat___Leaf_rust,60.1,1
28.7,64.2,8.6,0.2,11,Orange,Agra,Uttar Pradesh,27.17,78.01,3,0,Orange___Haunglongbing_(Citrus_greening),83.7,1
24.5,88.3,165.1,6.2,8,Corn,Patna,Bihar,25.59,85.13,0,2,Corn_(maize)___Northern_Leaf_Blight,74.2,1
17.3,73.7,134.6,5.8,7,Soybean,Bangalore,Karnataka,12.97,77.59,1,2,Soybean___healthy,0.0,0
28.4,60.2,63.9,6.7,9,Peach,Jodhpur,Rajasthan,26.29,73.01,1,0,Peach___healthy,0.0,0
36.0,74.1,6.3,0.9,5,Grape,Indore,Madhya Pradesh,22.71,75.85,7,5,Grape___Esca_(Black_Measles),40.8,1
21.8,52.7,2.3,11.3,2,Strawberry,Jaipur,Rajasthan,26.91,75.79,1,1,Strawberry___healthy,0.0,0
27.2,76.8,61.1,11.2,6,Cherry,Indore,Madhya Pradesh,22.71,75.85,2,0,Cherry_(including_sour)___healthy,0.0,0
31.3,73.3,102.4,8.8,6,Pepper,Aurangabad,Maharashtra,19.87,75.34,5,0,"Pepper,_bell___healthy",0.0,0
28.4,70.7,127.7,6.4,7,Raspberry,Pune,Maharashtra,18.52,73.85,9,0,Raspberry___healthy,0.0,0
17.8,82.3,14.0,7.6,4,Squash,Shimla,Himachal Pradesh,31.1,77.17,2,5,Squash___Powdery_mildew,41.8,1
31.8,74.2,98.2,8.0,6,Tomato,Mysore,Karnataka,12.29,76.64,1,1,Tomato___Septoria_leaf_spot,52.1,1
23.6,91.2,84.5,9.3,8,Grape,Burdwan,West Bengal,23.23,87.85,1,0,Grape___Esca_(Black_Measles),79.4,1
7.0,87.3,5.8,7.5,1,Grape,Dharamsala,Himachal Pradesh,32.21,76.32,1,2,Grape___Esca_(Black_Measles),82.9,1
30.8,84.9,50.7,3.7,9,Tomato,Lucknow,Uttar Pradesh,26.85,80.94,1,1,Tomato___Target_Spot,80.6,1
22.7,78.1,6.5,11.7,2,Cherry,Amravati,Maharashtra,20.93,77.75,2,0,Cherry_(including_sour)___healthy,0.0,0
23.4,79.1,158.0,0.0,7,Raspberry,Lucknow,Uttar Pradesh,26.85,80.94,0,0,Raspberry___healthy,0.0,0
22.1,84.8,83.4,6.5,7,Pepper,Mysore,Karnataka,12.29,76.64,0,1,"Pepper,_bell___Bacterial_spot",65.3,1
34.0,80.5,64.1,4.9,6,Tomato,Surat,Gujarat,21.17,72.83,6,5,Tomato___Tomato_Yellow_Leaf_Curl_Virus,55.3,1
20.6,76.5,6.0,13.8,1,Orange,Coimbatore,Tamil Nadu,11.01,76.96,7,3,Orange___Haunglongbing_(Citrus_greening),66.3,1
27.4,75.5,122.7,10.8,8,Apple,Jaipur,Rajasthan,26.91,75.79,4,0,Apple___healthy,0.0,0
41.0,47.3,11.4,5.3,5,Peach,Jodhpur,Rajasthan,26.29,73.01,0,1,Peach___Bacterial_spot,55.9,1
23.1,62.2,57.7,6.2,6,Tomato,Ludhiana,Punjab,30.9,75.85,2,0,Tomato___healthy,0.0,0
37.3,76.6,10.2,13.4,4,Tomato,Amravati,Maharashtra,20.93,77.75,4,1,Tomato___Bacterial_spot,44.9,1
24.1,73.8,4.4,6.5,1,Soybean,Hyderabad,Telangana,17.38,78.47,4,0,Soybean___healthy,0.0,0
26.0,84.7,6.2,12.6,2,Grape,Patna,Bihar,25.59,85.13,3,5,Grape___Esca_(Black_Measles),74.1,1
6.6,82.9,84.7,9.0,9,Grape,Shimla,Himachal Pradesh,31.1,77.17,0,0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),63.3,1
27.0,85.0,8.3,4.4,11,Tomato,Chennai,Tamil Nadu,13.08,80.27,10,1,Tomato___Tomato_mosaic_virus,44.7,1
40.1,70.2,12.3,0.5,5,Tomato,Hyderabad,Telangana,17.38,78.47,0,3,Tomato___Spider_mites Two-spotted_spider_mite,52.3,1
26.1,74.1,60.9,9.9,9,Potato,Warangal,Telangana,17.97,79.59,1,0,Potato___healthy,0.0,0
2.2,81.1,2.8,14.3,2,Wheat,Shimla,Himachal Pradesh,31.1,77.17,5,1,Wheat___Leaf_rust,66.7,1
27.8,80.0,85.4,9.5,6,Grape,Pune,Maharashtra,18.52,73.85,2,1,Grape___Esca_(Black_Measles),80.8,1
12.4,85.5,121.7,5.5,8,Potato,Dharamsala,Himachal Pradesh,32.21,76.32,3,0,Potato___Early_blight,45.3,1
26.2,78.4,13.5,8.1,11,Soybean,Ahmedabad,Gujarat,23.02,72.57,3,1,Soybean___healthy,0.0,0
23.2,83.0,13.1,9.0,10,Tomato,Bangalore,Karnataka,12.97,77.59,1,2,Tomato___Leaf_Mold,55.8,1
22.3,56.8,147.9,1.0,8,Tomato,Amritsar,Punjab,31.63,74.87,3,2,Tomato___Late_blight,76.0,1
24.3,69.0,4.9,9.1,2,Soybean,Nagpur,Maharashtra,21.14,79.08,0,1,Soybean___healthy,0.0,0
24.8,69.9,9.3,1.2,11,Tomato,Lucknow,Uttar Pradesh,26.85,80.94,3,0,Tomato___Spider_mites Two-spotted_spider_mite,53.2,1
33.1,87.6,86.4,18.1,6,Apple,Warangal,Telangana,17.97,79.59,2,3,Apple___Cedar_apple_rust,43.0,1
17.4,79.7,6.0,6.9,12,Tomato,Nashik,Maharashtra,19.99,73.79,3,1,Tomato___Early_blight,59.1,1
31.7,86.5,13.7,8.1,5,Grape,Ranchi,Jharkhand,23.34,85.31,5,1,Grape___Esca_(Black_Measles),62.5,1
22.9,82.3,4.7,12.6,1,Cherry,Nagpur,Maharashtra,21.14,79.08,4,0,Cherry_(including_sour)___Powdery_mildew,35.9,1
36.9,78.4,15.9,3.5,5,Tomato,Burdwan,West Bengal,23.23,87.85,3,3,Tomato___Target_Spot,53.2,1
39.2,55.1,15.5,11.3,5,Apple,Jodhpur,Rajasthan,26.29,73.01,4,1,Apple___Cedar_apple_rust,41.9,1
23.4,75.0,2.3,12.8,12,Pepper,Amravati,Maharashtra,20.93,77.75,4,2,"Pepper,_bell___healthy",0.0,0
